drug_Smiles,drug_ATC,drug_Name
CC(C1=CC2=C(C=C1)OC3=C(C2)C=CC=N3)C(=O)O,S01BC09,Pranoprofen
CC12CCC3C(C1CCC2(C#C)O)CCC4=CCCCC34,G03AC02,Lynestrenol
CC12CCC3C(C1CCC2(C#C)O)CCC4=CCCCC34, G03DC03,Lynestrenol
C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,M01AG03,Flufenamic acid
CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O,M01AB11,Acemetacin
COC1=CC=C(C=C1)C2=CC(=S)SS2,A16AX02,Anetholtrithion
CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-],A01AB06,Domiphen bromide
CNCCC1=CC=CC=N1.CS(=O)(=O)O.CS(=O)(=O)O,N07CA01,Betahistine mesilate
C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O,M02AA11,Bendazac
C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O, S01BC07,Bendazac
CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl,A01AB25,Oxytetracycline hydrochloride
CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl, D06AA03,Oxytetracycline hydrochloride
CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl, G01AA07,Oxytetracycline hydrochloride
CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl, J01AA06,Oxytetracycline hydrochloride
CC1(C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O.Cl, S01AA04,Oxytetracycline hydrochloride
CN1CCN(CC1)C2=NC3=CC=CC=C3SC4=C2C=C(C=C4)Cl,N05AH06,Clothiapine
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2,A10BB09,Gliclazide
C[NH2+]C(=NC)NCC1=CC=CC=C1.C[NH2+]C(=NC)NCC1=CC=CC=C1.[O-]S(=O)(=O)[O-],C02CC01,Bethanidine sulfate
CC1=CC2=C(C=C1S(=O)(=O)N)S(=O)(=O)CCC2,C03BA09,Meticrane
COC1=C(C(=C(C=C1)CN2CCNCC2)OC)OC.Cl.Cl,C01EB15,Trimetazidine hydrochloride
CC(CN(C)C)C(C)(CC1=CC=C(C=C1)Cl)O.Cl,R05DB03,Clobutinol Hydrochloride
C1CCN(CC1)CCOC(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl,R05DB21,Cloperastine Hydrochloride
C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)[O-])C3=CC=C(C=C3)OS(=O)(=O)[O-].O.[Na+].[Na+],A06AB08,Sodium picosulfate hydrate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O,A01AC02,Dexamethasone palmitate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O, C05AA09,Dexamethasone palmitate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O, D07AB19,Dexamethasone palmitate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O, D07XB05,Dexamethasone palmitate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O, D10AA03,Dexamethasone palmitate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O, H02AB02,Dexamethasone palmitate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O, R01AD03,Dexamethasone palmitate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O, S01BA01,Dexamethasone palmitate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O, S01CB01,Dexamethasone palmitate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O, S02BA06,Dexamethasone palmitate
CCCCCCCCCCCCCCCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)O, S03BA01,Dexamethasone palmitate
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)OS(=O)(=O)[O-])C.O.O.[Na+],A14AA07,Sodium prasterone sulfate hydrate
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)OS(=O)(=O)[O-])C.O.O.[Na+], G03XX01,Sodium prasterone sulfate hydrate
CCC(=O)OC1CCC2C1(CCC3C2CCC4=C3C=CC(=C4)OC(=O)CC)C,G03CA03,Estradiol dipropionate
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO,A01AC03,Hydrocortisone butyrate
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO, A07EA02,Hydrocortisone butyrate
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO, C05AA01,Hydrocortisone butyrate
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO, D07AA02,Hydrocortisone butyrate
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO, D07AB02,Hydrocortisone butyrate
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO, D07XA01,Hydrocortisone butyrate
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO, H02AB09,Hydrocortisone butyrate
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO, S01BA02,Hydrocortisone butyrate
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO, S01CB03,Hydrocortisone butyrate
CCCC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)CCC34C)O)C)C(=O)CO, S02BA01,Hydrocortisone butyrate
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C,A11CA01,Retinol acetate
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C, D10AD02,Retinol acetate
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C, R01AX02,Retinol acetate
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCOC(=O)C)C)C, S01XA02,Retinol acetate
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)[O-])O)O)O.[Na+],A11HA04,Riboflavin sodium phosphate
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)[O-])O)O)O.[Na+], S01XA26,Riboflavin sodium phosphate
CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3.CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl,R06AA07,Diphenylpyraline teoclate
CC1=C(SC=N1)C=CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C,J01DD16,Cefditoren pivoxil
CC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)OCOC(=O)C(C)(C)C.Cl,J01DD10,Cefetamet pivoxil hydrochloride
CCCN1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(=O)C,N06BC02,Propentofylline
CC(C)(C)OC(=O)NCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N,V04CG04,Pentagastrin
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC,A01AC02,Dexamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, C05AA09,Dexamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, D07AB19,Dexamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, D07XB05,Dexamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, D10AA03,Dexamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, H02AB02,Dexamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, R01AD03,Dexamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, S01BA01,Dexamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, S01CB01,Dexamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, S02BA06,Dexamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, S03BA01,Dexamethasone dipropionate
C1CCN(C1)C2=C(C(=CC(=C2)C(=O)O)S(=O)(=O)N)OC3=CC=CC=C3,C03CA03,Piretanide
CC(CC1=CC=CC=C1OC)NC.Cl,R03CB02,Methoxyphenamine hydrochloride
CCC(=O)OC1CC(=O)OC(CC=CC=CC(C(CC(C(C1OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)OC(=O)CC)(C)OC(=O)C)N(C)C)O)CC=O)C)OC(=O)C)C,J01FA11,Midecamycin acetate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC,A07EA04,Betamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, C05AA05,Betamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, D07AC01,Betamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, D07XC01,Betamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, H02AB01,Betamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, R01AD06,Betamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, R03BA04,Betamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, S01BA06,Betamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, S01CB04,Betamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, S02BA07,Betamethasone dipropionate
CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC, S03BA03,Betamethasone dipropionate
CC1CC2=C(CCC(=O)C2)C3C1C4CCC(C4(CC3)C)(C#C)O,G03CX01,Tibolone
[NH+](O)([O-])O[Bi](O[N+](=O)[O-])O[N+](=O)[O-],A02BX12,Bismuth subnitrate
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.N.[Fe+3],V08CA07,Ferric ammonium citrate
CNC(=O)CN(CCN(CCN(CC(=O)NC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].O.[Gd+3],V08CA03,Gadodiamide hydrate
COCCNC(=O)CN(CCN(CCN(CC(=O)NCCOC)CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Gd+3],V08CA06,Gadoversetamide
C[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.[Br-],A03BA03,Hyoscyamine methylbromide
CCC(C(=O)NC1C2N(C1=O)C(C(S2)(C)C)C(=O)[O-])OC3=CC=CC=C3.[K+],J01CE03,Propicillin potassium
CCC(C1=CC=CC=C1)C2=NOC(=N2)CCN(CC)CC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,A03AX07,Proxazole citrate
CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,J05AF08,Adefovir dipivoxil
CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3Cl,N05CD06,Lormetazepam
CCOC(=O)OC(C1CC2CCN1CC2C=C)C3=C4C=C(C=CC4=NC=C3)OC,P01BC01,Quinine ethylcarbonate
CC(=C(C1=C(C=C(C=C1)Cl)Cl)OCCOC2=CC=C(C=C2)Cl)N3C=CN=C3.[N+](=O)(O)[O-],D01AC13,Omoconazole nitrate
CC(=C(C1=C(C=C(C=C1)Cl)Cl)OCCOC2=CC=C(C=C2)Cl)N3C=CN=C3.[N+](=O)(O)[O-], G01AF16,Omoconazole nitrate
C1C(C(C(C(C1(CO)O)O)O)O)NC(CO)CO,A10BF03,Voglibose
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N(CC(=O)O)C2CC3=CC=CC=C3C2.Cl,C09AA12,Delapril hydrochloride
CC1=CC=C(C=C1)S(=O)(=O)O.CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)OCOC(=O)C4C(S(=O)(=O)C5N4C(=O)C5)(C)C)C.O.O,J01CR04,Sultamicillin tosilate hydrate
CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2.Cl,M03BX09,Eperisone hydrochloride
CCCC[NH2+]CC(C1=CC=C(C=C1)O)O.CCCC[NH2+]CC(C1=CC=C(C=C1)O)O.[O-]S(=O)(=O)[O-],C04AA31,Bamethan sulfate
C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)O,M02AA08,Felbinac
CCC=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)OCOC(=O)C(C)(C)C.O.Cl,J01DD17,Cefcapene pivoxil hydrochloride hydrate
CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CCCNC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C.CC(=O)O,H01CC02,Cetrorelix acetate
CCOC(=O)OC1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)C(=O)OCCl,S01BA14,Loteprednol etabonate
CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC.Cl,G04CA01,Alfuzosin hydrochloride
C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5.Br,G04BD10,Darifenacin hydrobromide
CC(C)(C)C1=CC2=C(C=C1)C(=C(C=C2)C(C)(C)C)S(=O)(=O)[O-].[Na+],R05DB16,Dibunate sodium
CCN(CC)CCOC1=CC2=C(C=C1)N=C(S2)N(C)C.Cl.Cl,D01AE17,Dimazole dihydrochloride
CC(C)C(=O)OCC(=O)C12C(CC3C1(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)OC(O2)C6CCCCC6,R01AD13,Ciclesonide
CC(C)C(=O)OCC(=O)C12C(CC3C1(CC(C4C3CCC5=CC(=O)C=CC45C)O)C)OC(O2)C6CCCCC6, R03BA08,Ciclesonide
CNCC(C(C(C(CO)O)O)O)O.CNCC(C(C(C(CO)O)O)O)O.C(CN(CC(=O)O)CC(=O)[O-])N(CCN(CC(=O)O)CC(=O)[O-])CC(=O)[O-].[Gd+3],V08CA01,Gadopentetate dimeglumine
CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF,D07AC17,Fluticasone propionate
CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF, R01AD08,Fluticasone propionate
CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF, R03BA05,Fluticasone propionate
CCC1C(C(C(C(=NOCOCCOC)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O,J01FA06,Roxithromycin
[O-]Cl.[Na+],D08AX07,Sodium hypochlorite
CC(=O)[O-].CN1C2=C(C(=O)N(C1=O)C)NC=N2.[Na+],R03DA04,Theophylline sodium acetate
C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N.Cl,R06AX24,Epinastine hydrochloride
C1C2C3=CC=CC=C3CC4=CC=CC=C4N2C(=N1)N.Cl, S01GX10,Epinastine hydrochloride
CN(C1=C(C(=C(C(=C1I)C(=O)NC(CO)C(CO)O)I)C(=O)NC(CO)C(CO)O)I)C(=O)CC(=O)N(C)C2=C(C(=C(C(=C2I)C(=O)NC(CO)C(CO)O)I)C(=O)NC(CO)C(CO)O)I,V08AB06,Iotrolan
CN1CCN(CC1)C2=C(C=C3C(=C2F)N(C=C(C3=O)C(=O)O)CCF)F,J01MA08,Fleroxacin
CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F.Cl,R01AC02,Levocabastine hydrochloride
CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F.Cl, S01GX02,Levocabastine hydrochloride
CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)CO,V08AB10,Iomeprol
CCC(C)(C)C1=CC=C(C=C1)CC(C)CN2CC(OC(C2)C)C.Cl,D01AE16,Amorolfine hydrochloride
C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],A06AD14,Pentaerythritol tetranitrate
C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-], C01DA05,Pentaerythritol tetranitrate
O.O.O.O.O.O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Al+3].[K+],S01XA07,"Alum, potassium"
O.O.O.O.O.O.O.[O-]S(=O)(=O)[O-].[Fe+2],B03AA07,Ferrous sulfate
C1=CC(=CC(=C1)I)CN=C(N)N,V09IX01,3-Iodobenzylguanidine
[N+](=O)([O-])[O-].[Ag+],D08AL01,Silver nitrate
[N+](=O)([O-])[O-].[Ag+], S01AX02,Silver nitrate
[O-]S(=O)(=O)[O-].[Na+].[Na+],A06AD13,Anhydous sodium sulfate
[O-]S(=O)(=O)[O-].[Na+].[Na+], A12CA02,Anhydous sodium sulfate
CC(=O)OCC(=O)C1(CCC2C1(CC=C3C2CCC4=CC(=O)CCC43C)C)O,S01LA02,Anecortave acetate
CC12CCC3C(C1CCC2OC(=O)CCC4=CC=CO4)CCC5=CC(=O)CCC35,A14AB01,Nandrolone furylpropionate
CC12CCC3C(C1CCC2OC(=O)CCC4=CC=CO4)CCC5=CC(=O)CCC35, S01XA11,Nandrolone furylpropionate
CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O.CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O.Cl,J01DD05,Cefmenoxime hydrochloride
CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O.CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O.Cl, S01AA31,Cefmenoxime hydrochloride
CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O.CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O.Cl, S02AA18,Cefmenoxime hydrochloride
CCC1(C(=O)NC(=O)NC1=O)CC,N05CA04,Barbital
CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C.Cl,C07AB08,Celiprolol hydrochloride
COC1=CC(=C(C=C1C(=O)NC2CC[NH+](CC2)CC3=CC=CC=C3)Cl)N.C(C(C(=O)[O-])O)C(=O)O,A03FA06,Clebopride malate
CC1=NN=C2N1C3=C(C=C(S3)Br)C(=NC2)C4=CC=CC=C4Cl,N05CD09,Brotizolam
C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O,A03FA03,Domperidone
CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O.Cl,L01DB06,Idarubicin hydrochloride
CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O.Cl,C04AA01,Isoxsuprine hydrochloride
CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,N06BX13,Idebenone
C1CC(C(OC1CN)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)N)O)N)N)N.OS(=O)(=O)O,J01GB09,Dibekacin sulfate
C1CC(C(OC1CN)OC2C(CC(C(C2O)OC3C(C(C(C(O3)CO)O)N)O)N)N)N.OS(=O)(=O)O, S01AA29,Dibekacin sulfate
C1=CC(=CN=C1)C(=O)OCC(COC(=O)C2=CN=CC=C2)(COC(=O)C3=CN=CC=C3)COC(=O)C4=CN=CC=C4,C10AD01,Niceritrol
CCCOC(=O)CN1C=C(C(=O)C(=C1)I)I,V08AD03,Propyliodone
C(CO[N+](=O)[O-])N(CCO[N+](=O)[O-])CCO[N+](=O)[O-].OP(=O)(O)O.OP(=O)(O)O,C01DA09,Trolnitrate phosphate
COC1C(C(C(C(O1)CNC(=O)N(CCCl)N=O)O)O)O,L01AD07,Ranimustine
CC(=O)N(C)C1=C(C(=C(C(=C1I)C(=O)NCC(=O)NC2=C(C(=C(C(=C2I)C(=O)O)I)C(=O)NCCO)I)I)C(=O)NC)I,V08AB03,Ioxaglic acid
CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)CS(=O)(=O)[O-].O.[Na+],N02BB02,Dipyrone
CCCCC(=O)OCC(=O)C1C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C,D07AC06,Diflucortolone valerate
CCCCC(=O)OCC(=O)C1C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C, D07XC04,Diflucortolone valerate
CCCN(CCC)C(=O)C(CCC(=O)OCCCN1CCN(CC1)CCOC(=O)CC2=C(N(C3=C2C=C(C=C3)OC)C(=O)C4=CC=C(C=C4)Cl)C)NC(=O)C5=CC=CC=C5.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O,M01AB14,Proglumetacin maleate
CN(C)C(=O)COC(=O)CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)N=C(N)N.CS(=O)(=O)O,B02AB04,Camostat mesilate
CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3,M01AC02,Tenoxicam
CCCCOC1=C(C=CC(=C1)C(=O)OCCN(CC)CC)N.Cl,D04AB03,Benoxinate hydrochloride
CCCCOC1=C(C=CC(=C1)C(=O)OCCN(CC)CC)N.Cl, S01HA02,Benoxinate hydrochloride
CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)N)O)O)CC)OC)C(=O)OC)O.OS(=O)(=O)O,L01CA03,Vindesine sulfate
CC(CN1C=NC2=C1C(=O)N(C(=O)N2C)C)O,R03DA03,Proxyphylline
CCOCC,N01AA01,Ether
C1CN(CCN1CCCN2C3=CC=CC=C3NC2=O)C(C4=CC=CC=C4)C5=CC=CC=C5,R06AE06,Oxatomide
C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,V08AC04,Iodipamide
C1=CC=C(C=C1)C2=CC=C(C=C2)C(C3=CC=CC=C3)N4C=CN=C4,D01AC10,Bifonazole
CN(CC1=C(C(=CC(=C1)Br)Br)N)C2CCCCC2.Cl,R05CB02,Bromhexine hydrochloride
CC(=O)[O-].O.O.O.[Na+],B05XA08,Sodium acetate
C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.O.O.[Na+].[Na+].[Na+],B05CB02,Sodium citrate hydrate
CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC=N3.O.Cl,R06AX07,Triprolidine hydrochloride
CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F,L01BC04,Carmofur
CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=CC=C4.CN1CCC2=C(C1)C3=CC=CC=C3N2CC4=CC=CC=C4.C1=CC2=C(C=CC=C2S(=O)(=O)O)C(=C1)S(=O)(=O)O,R06AX15,Mebhydrolin napadisilate
C1CCS(=O)(=O)N(C1)C2=CC=C(C=C2)S(=O)(=O)N,N03AX03,Sulthiame
C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],L01XA03,Oxaliplatin
