DRUG_NAME,smiles,ADRECS_ID,Match,smiles_index
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,09.01.08.003,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,02.01.03.002,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,17.15.03.002,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,15.05.02.001,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,22.09.03.001,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,17.14.01.001,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,07.01.07.001,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,08.01.01.002,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,01.03.02.001,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,23.03.13.001,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,23.03.09.003,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,15.03.04.001,1.0,-3
simeprevir,CC1=C(C=CC2=C1N=C(C=C2OC3CC4C(C3)C(=O)N(CCCCC=CC5CC5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,23.03.12.001,1.0,-3
pentamidine.isethionate,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,08.01.01.001,1.0,-4
pentamidine.isethionate,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,08.01.09.028,1.0,-4
pentamidine.isethionate,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,02.01.03.002,1.0,-4
pentamidine.isethionate,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,22.02.03.001,1.0,-4
pentamidine.isethionate,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,22.03.01.009,1.0,-4
pentamidine.isethionate,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,13.15.01.001,1.0,-4
pentamidine.isethionate,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,02.01.02.004,1.0,-4
pentamidine.isethionate,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,11.01.08.002,1.0,-4
pentamidine.isethionate,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,08.01.01.002,1.0,-4
penicillamine,CC(C)(C(C(=O)O)N)S,01.02.02.001,1.0,-5
penicillamine,CC(C)(C(C(=O)O)N)S,23.03.04.002,1.0,-5
penicillamine,CC(C)(C(C(=O)O)N)S,13.13.02.006,1.0,-5
penicillamine,CC(C)(C(C(=O)O)N)S,01.08.01.002,1.0,-5
penicillamine,CC(C)(C(C(=O)O)N)S,23.03.13.001,1.0,-5
penicillamine,CC(C)(C(C(=O)O)N)S,20.02.01.011,1.0,-5
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.02.05.015,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,08.01.01.001,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,08.01.02.002,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,20.02.01.002,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.02.04.006,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.02.06.005,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,07.02.02.001,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,08.01.09.014,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,15.01.04.001,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,19.06.02.002,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.02.02.004,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.03.03.001,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.02.02.007,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,06.02.06.002,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,19.03.01.002,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.02.03.005,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,13.15.01.006,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,20.02.01.006,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,04.04.01.003,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,11.05.03.001,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.02.03.001,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,02.01.02.004,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.02.08.001,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.03.02.003,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.03.02.001,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,06.02.06.007,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,07.01.07.001,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,17.01.06.002,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,20.02.02.009,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,08.01.01.002,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,07.01.02.001,1.0,-8
retigabine,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,20.02.02.002,1.0,-8
levetiracetam,CCC(C(=O)N)N1CCCC1=O,19.05.01.001,1.0,-9
levetiracetam,CCC(C(=O)N)N1CCCC1=O,08.01.01.001,1.0,-9
