CanSmiles,ATC_L1,Drug_Name
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O, D07AA02,Hydrocortisone
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O, D07XA01,Hydrocortisone
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O, H02AB09,Hydrocortisone
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O, S01BA02,Hydrocortisone
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O, S01CB03,Hydrocortisone
CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O, S02BA01,Hydrocortisone
CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)N1)CC2=CC=C(C=C2)O)N)C(=O)N3CCCC3C(=O)NC(CC(C)C)C(=O)NCC(=O)N)CC(=O)N)CCC(=O)N,H01BB02,Oxytocin
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,D10AD01,Tretinoin
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C, L01XF01,Tretinoin
CNCC(C1=CC(=C(C=C1)O)O)O,A01AD01,Epinephrine
CNCC(C1=CC(=C(C=C1)O)O)O, B02BC09,Epinephrine
CNCC(C1=CC(=C(C=C1)O)O)O, C01CA24,Epinephrine
CNCC(C1=CC(=C(C=C1)O)O)O, R01AA14,Epinephrine
CNCC(C1=CC(=C(C=C1)O)O)O, R03AA01,Epinephrine
CNCC(C1=CC(=C(C=C1)O)O)O, S01EA01,Epinephrine
C(C(C(C(C(CO)O)O)O)O)O,A06AD18,Sorbitol solution
C(C(C(C(C(CO)O)O)O)O)O, A06AG07,Sorbitol solution
C(C(C(C(C(CO)O)O)O)O)O, B05CX02,Sorbitol solution
C(C(C(C(C(CO)O)O)O)O)O, V04CC01,Sorbitol solution
C1=CC=C(C(=C1)C(=O)O)O,D01AE12,Salicylic acid
C1=CC=C(C(=C1)C(=O)O)O, S01BC08,Salicylic acid
CC1(C2CCC1(C(=O)C2)C)C,C01EB02,Camphor
[N-]=[N+]=O,N01AX13,Nitrous oxide
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],D06AX02,Chloramphenicol
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-], D10AF03,Chloramphenicol
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-], G01AA05,Chloramphenicol
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-], J01BA01,Chloramphenicol
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-], S01AA01,Chloramphenicol
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-], S02AA01,Chloramphenicol
C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-], S03AA08,Chloramphenicol
CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,G03CA03,Estradiol
CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,B01AC09,Epoprostenol
CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC.O,D11AH01,Tacrolimus
CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC.O, L04AD02,Tacrolimus
II,D08AG03,Iodine
CC(=O)OC1=CC=CC=C1C(=O)O,A01AD05,Aspirin
CC(=O)OC1=CC=CC=C1C(=O)O, B01AC06,Aspirin
CC(=O)OC1=CC=CC=C1C(=O)O, N02BA01,Aspirin
CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,N01BC01,Cocaine
