drug_Smiles,drug_ATC,drug_Name
CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,J01FF02,Lincomycin
C1=NNC2=C1C(=O)NC=N2,M04AA01,Allopurinol
CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,C07AB03,Atenolol
C1=CC(=CC=C1C(CC(=O)O)CN)Cl,M03BX01,Baclofen
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,M02AB01,Capsaicin
CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC, N01BX04,Capsaicin
CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O.O,J01DC10,Cefprozil
C(C(Cl)(Cl)Cl)(O)O,N05CC01,Chloral hydrate
CC(C)N=C1C=C2C(=NC3=CC=CC=C3N2C4=CC=C(C=C4)Cl)C=C1NC5=CC=C(C=C5)Cl,J04BA01,Clofazimine
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,N05BA01,Diazepam
CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CCC7(C6(CCC7C8=CC(=O)OC8)O)C)C)C)C)O)O,C01AA04,Digitoxin
CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O,C01AA05,Digoxin
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,D04AA32,Diphenhydramine
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2, R06AA02,Diphenhydramine
CCC(=C)C(=O)C1=C(C(=C(C=C1)OCC(=O)O)Cl)Cl,C03CC01,Ethacrynic acid
C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N,A02BA03,Famotidine
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,N06AB03,Fluoxetine
C1CCC(CC1)(CC(=O)O)CN,N02BF01,Gabapentin
C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,J05AB06,Ganciclovir
C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N, S01AD09,Ganciclovir
COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,A10BB01,Glyburide
C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,C03AA03,Hydrochlorothiazide
C1=CN=CC=C1C(=O)NN,J04AC01,Isoniazid
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,D10AD04,Isotretinoin
CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C, D10BA01,Isotretinoin
